row_id,id,event_date,firearm_name,range_name,rounds_fired,ammo_description,notes,created,modified
279,01KWG95NTD7HW17XAKYG7QPZA7,2019-08-25 20:05:22.1244529,Israeli 98k,CHAS,5,196gr S&B factory ammo,Collecting velocity,2026-07-02 02:05:22.1252542+00:00,2026-07-02 02:05:22.125256+00:00
280,01KWG95NTD7HW17XAKYG7QPZAF,2019-09-07 20:05:22.1254996,STAG-10,CHAS,150,Norinco 147gr,Collecting velocity,2026-07-02 02:05:22.1258767+00:00,2026-07-02 02:05:22.1258783+00:00
281,01KWG95NTFQ7A32TGVJDWYR7AB,2019-09-07 20:05:22.1260993,Israeli 98k,CHAS,32,"150 Sierra SPT, 49gr IMR4895",Building DOPE to 500m,2026-07-02 02:05:22.1272208+00:00,2026-07-02 02:05:22.1272226+00:00
282,01KWG95NTGS1CJXWXGZP207Y0A,2019-09-07 20:05:22.127484,M96,CHAS,19,"107gr SMK, ?? Powder",Zeroing the Bushnell Elite 3200 10x,2026-07-02 02:05:22.1280398+00:00,2026-07-02 02:05:22.1280414+00:00
283,01KWG95NTGS1CJXWXGZP207Y0J,2019-09-22 20:05:22.1283472,NEA 12.5,SPFGA,60,"55gr Campro, 24gr H4895","Zeroing/Rezeroing the EoTech, collecting velocity. Horrible groups",2026-07-02 02:05:22.1289243+00:00,2026-07-02 02:05:22.128926+00:00
284,01KWG95NTH1DSA0AQQ04CW8219,2019-09-22 20:05:22.1291595,MDI SLR,SPFGA,40,"55gr Campro, 24gr H4895",Collecting velocity. Good groups,2026-07-02 02:05:22.1295175+00:00,2026-07-02 02:05:22.1295191+00:00
285,01KWG95NTJS4P84DYPTT14NNX8,2019-09-28 20:05:22.1297311,Remington 597,SPFGA,50,Sterling Cross,ORPS,2026-07-02 02:05:22.1307667+00:00,2026-07-02 02:05:22.1307684+00:00
286,01KWG95NTKA8G51SF411QBWGYT,2019-10-03 20:05:22.1310163,RPRimfire,Phoenix,20,Sterling Cross,"Testing the extraction, shooting at 3/4"""" circles. Good groups.  -1 MOA",2026-07-02 02:05:22.1314415+00:00,2026-07-02 02:05:22.1314431+00:00
287,01KWG95NTMVE7TA3BNYGPMSNSG,2019-10-03 20:05:22.1316817,RPRimfire,Phoenix,80,Remington Yellow Jacket,"Testing extraction. 1 stuck case.  Shooting at 3/4"""" circles.  Wider groups -1.75MOA",2026-07-02 02:05:22.1321479+00:00,2026-07-02 02:05:22.1321496+00:00
288,01KWG95NTMVE7TA3BNYGPMSNSR,2019-10-03 20:05:22.1324365,RPRimfire,Phoenix,100,??,testing extraction. shoots well. -1.5MOA elevation. had about 6 failure-to-extract,2026-07-02 02:05:22.1329356+00:00,2026-07-02 02:05:22.1329373+00:00
